world_id,object_a,object_b,heuristic_label,gazebo_contact
world6_dense_mixed,obj_plate,obj_spoon,Support,1
world6_dense_mixed,obj_plate,obj_fork,Contact,1
world6_dense_mixed,obj_plate,obj_knife,Contact,1
world6_dense_mixed,obj_mug,obj_jar,Separate,0
world6_dense_mixed,obj_jar,obj_cereal_box,Contact,1
world6_dense_mixed,obj_cereal_box,obj_tissue_box,Separate,0
world6_dense_mixed,obj_cereal_box,obj_ruler,Separate,0
world6_dense_mixed,obj_tissue_box,obj_bowl,Separate,0
world6_dense_mixed,obj_tissue_box,obj_ruler,Support,1
world6_dense_mixed,obj_bowl,obj_apple,Contact,0
world6_dense_mixed,obj_bowl,obj_ruler,Support,1
world6_dense_mixed,obj_apple,obj_ruler,Separate,0
world6_dense_mixed,obj_notebook,obj_remote,Support,1
world6_dense_mixed,obj_notebook,obj_pen,Support,1
world6_dense_mixed,obj_remote,obj_pen,Contact,0
world6_dense_mixed,obj_plate,obj_spoon,Support,1
world6_dense_mixed,obj_plate,obj_fork,Contact,1
world6_dense_mixed,obj_plate,obj_knife,Contact,1
world6_dense_mixed,obj_bottle,obj_mug,Separate,0
world6_dense_mixed,obj_jar,obj_cereal_box,Contact,1
world6_dense_mixed,obj_jar,obj_notebook,Separate,0
world6_dense_mixed,obj_jar,obj_remote,Separate,0
world6_dense_mixed,obj_cereal_box,obj_notebook,Separate,0
world6_dense_mixed,obj_cereal_box,obj_remote,Separate,0
world6_dense_mixed,obj_tissue_box,obj_banana,Separate,0
world6_dense_mixed,obj_tissue_box,obj_ruler,Support,1
world6_dense_mixed,obj_bowl,obj_apple,Contact,0
world6_dense_mixed,obj_bowl,obj_ruler,Support,1
world6_dense_mixed,obj_apple,obj_ruler,Separate,0
world6_dense_mixed,obj_banana,obj_ruler,Separate,0
world6_dense_mixed,obj_notebook,obj_remote,Support,1
world6_dense_mixed,obj_plate,obj_spoon,Support,1
world6_dense_mixed,obj_plate,obj_fork,Contact,1
world6_dense_mixed,obj_plate,obj_knife,Contact,1
world6_dense_mixed,obj_mug,obj_cereal_box,Separate,0
world6_dense_mixed,obj_tissue_box,obj_ruler,Support,1
world6_dense_mixed,obj_bowl,obj_apple,Contact,0
world6_dense_mixed,obj_bowl,obj_ruler,Support,1
world6_dense_mixed,obj_apple,obj_ruler,Separate,0
world6_dense_mixed,obj_notebook,obj_remote,Support,1
world6_dense_mixed,obj_notebook,obj_pen,Support,1
world6_dense_mixed,obj_plate,obj_spoon,Support,1
